"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"BRPA","Big Rock Partners Acquisition Corp.","NASD","","",,"",36.080,2851163
"KIQ","Kelso Technologies Inc.","AMEX","Industrial","Industrial Machinery",,"",0.679,412444
"LNSR","LENSAR Inc.","NASD","Health Care","Medical Equipment",,"",7.820,15259
"LODE","Comstock Mining Inc.","AMEX","Materials","Gold Mining",,"",3.440,524739
"OEG","Orbital Energy Group Inc.","NASD","Technology","Electrical Components",,"",3.290,1550813
"ONTX","Onconova Therapeutics, Inc.","NASD","Health Care","Biotechnology",,"",0.730,90319164
"SLDB","Solid Biosciences, Inc.","NASD","Health Care","Biotechnology",8.9,"sml",3.830,537733
"SNNAQ","Sienna Biopharmaceuticals, Inc.","NASD","Health Care","Biotechnology",99.4,"sml",0.033,12662
"SVRA","Savara Inc.","NASD","Health Care","Biotechnology",36.7,"sml",1.600,1309534
"THCB","Tuscan Holdings Corp","NASD","","",,"",10.630,403971
"TIRX","Tian Ruixiang Holdings Ltd.","NASD","Financial","Property-Casualty Insurance",,"",10.310,150526
"UAMY","U S Antimony Corp.","AMEX","Materials","Gold Mining",,"",0.824,1173847
