"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AMC","AMC Entertainment Holdings Inc.","NYSE","Consumer Discretionary","Recreational Services",98.5,"sml",12.550,61413395
"AQMS","Aqua Metals, Inc.","NASD","Industrial","Waste & Disposal Services",,"",2.580,932293
"BLBD","Blue Bird Corp.","NASD","Industrial","Commercial Vehicles",74.7,"sml",25.640,92871
"EXPR","Express Inc.","NYSE","Consumer Discretionary","Apparel Retailers",97.8,"sml",3.540,2563849
"FI","Frank's International NV","NYSE","Energy","Oil Equipment & Services",57.9,"sml",3.450,861583
"GBOX","GreenBox POS","NASD","","",,"",10.220,418737
"GME","Gamestop Corp.","NYSE","Consumer Discretionary","Specialty Retailers",99.9,"sml",170.490,2478149
"IMNM","Immunome Inc.","NASD","Health Care","Biotechnology",,"",18.000,95913
"ITRI","Itron, Inc.","NASD","Technology","Electronic Equipment",44.4,"mid",90.770,214313
"JFU","9F Inc.","NASD","Technology","Software",,"",1.310,336381
"KOSS","Koss Corp.","NASD","Communication Services","Mobile Telecommunications",,"",17.340,504426
"NAKD","Naked Brand Group, Inc.","NASD","Consumer Discretionary","Clothing & Accessories",,"",0.543,25644650
"NL","NLIndustries, Inc.","NYSE","Materials","Specialty Chemicals",80.3,"sml",7.340,15017
"REI","Ring Energy, Inc.","AMEX","Energy","Exploration & Production",,"",2.200,1550735
"REPX","Riley Exploration Permian, Inc.","AMEX","Energy","Exploration & Production",,"",35.010,7443
"SALM","Salem Media Group, Inc.","NASD","Communication Services","Entertainment",,"",2.100,427167
"SUNW","Sunworks, Inc.","NASD","Technology","Renewable Energy Equipment",,"",8.770,2591728
"TAOP","Taoping, Inc.","NASD","Technology","Computer Services",,"",5.340,244785
"UAMY","U S Antimony Corp.","AMEX","Materials","Gold Mining",,"",0.824,1173847
"VERB","Verb Technology Co., Inc.","NASD","Communication Services","Entertainment",,"",1.110,1037980
"VOR","Vor Biopharma Inc.","NASD","Health Care","Biotechnology",,"",21.600,124091
"VYNT","Vyant Bio, Inc.","NASD","Health Care","Biotechnology",,"",3.220,396458
"XPL","Solitario Zinc Corp.","AMEX","Materials","General Mining",,"",0.715,683401
