"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AEI","Alset EHome International Inc.","NASD","Real Estate","Real Estate Development",,"",3.860,2069772
"AGTC","Applied Genetic Technologies Corp.","NASD","Health Care","Biotechnology",18.3,"sml",4.300,934838
"AMPG","AmpliTech Group, Inc.","NASD","Communication Services","Entertainment",,"",4.380,198046
"ANTE","AirNet Technology Inc.","NASD","Communication Services","Media Agencies",,"",3.670,445791
"AVNW","Aviat Networks Inc.","NASD","Technology","Telecom Equipment",,"",34.750,257548
"BATL","Battalion Oil Corp","AMEX","Energy","Exploration & Production",,"",13.400,22615
"BLCT","BlueCity Holdings Ltd","NASD","Communication Services","Internet",,"",7.210,71775
"CAN"," Canaan Inc","NASD","Technology","Semiconductors",,"",8.780,4958396
"CCIV","Churchill Capital Corp IV","NYSE","","",,"",19.790,7769604
"CLNN","Clene Inc.","NASD","Health Care","Biotechnology",,"",9.390,84612
"CTK","CooTek Cayman Inc.","NYSE","Communication Services","Internet",,"",2.060,136870
"CTXR","Citius Pharmaceuticals Inc.","NASD","Health Care","Pharmaceuticals",,"",2.260,4401086
"EVOL","Evolving Systems, Inc.","NASD","Technology","Software",,"",1.840,100075
"GLBS","Globus Maritime Ltd.","NASD","Industrial","Marine Transportation",,"",4.300,206390
"HGSH","China HGS Real Estate, Inc.","NASD","Real Estate","Real Estate Development",,"",1.960,111941
"ITP","IT Tech Packaging, Inc.","AMEX","Materials","Paper",,"",0.482,1586965
"KBNT","Kubient Inc.","NASD","Technology","Software",,"",4.940,179810
"LEJU","Leju Holdings Ltd.","NYSE","Real Estate","Real Estate Development",,"",2.080,97521
"LKCO","Luokung Technology Corp.","NASD","Technology","Software",,"",1.150,3022971
"LYL","Dragon Victory International Limited","NASD","Communication Services","Internet",,"",1.280,279259
"MFH","Mercurity Fintech Holding Inc","NASD","Industrial","Business Support Services",,"",6.030,241008
"MTC","MMTec, Inc.","NASD","","",,"",1.560,82150
"NCTY","The9 Ltd.","NASD","Consumer Discretionary","Toys",,"",14.260,784641
"NINE","Nine Energy Service Inc","NYSE","Energy","Oil Equipment & Services",,"",1.940,39113
"PAVM","PAVmed, Inc.","NASD","Health Care","Medical Equipment",95.5,"sml",4.540,1425255
"PXS","Pyxis Tankers Inc.","NASD","Industrial","Marine Transportation",,"",0.828,449294
"SCKT","Socket Mobile, Inc.","NASD","Technology","Telecom Equipment",,"",5.400,46452
"SONM","Sonim Technologies Inc.","NASD","Communication Services","Mobile Telecommunications",,"",0.477,1694116
"SOS","SOS Limited","NYSE","Technology","Software",,"",3.160,12166350
"SXTC","China SXT Pharmaceuticals, Inc.","NASD","Health Care","Medical Supplies",,"",1.270,52785
"USWS","US Well Services, Inc.","NASD","Energy","Oil Equipment & Services",,"",1.050,2185316
"XIN","Xinyuan Real Estate Co., Ltd.","NYSE","Real Estate","Real Estate Development",,"",2.440,11037
"XYF","X Financial","NYSE","Financial","Consumer Finance",,"",4.390,56356
