"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"ACRS",18.30%,26.10%,92.05%,166.09%,155.00%,142.86%,12.23%,8.52%,1.20,425.26,26.43,5.01,9.15%,11237508
2,"ANCN",78.88%,104.26%,171.70%,89.47%,97.26%,105.71%,34.80%,14.32%,3.00,1911.45,1.34,2.62,-9.03%,2552831
3,"BRN",47.59%,59.27%,114.48%,122.16%,147.48%,56.17%,15.73%,8.62%,,435.61,1.26,1.30,-19.18%,547360
4,"CCNC",13.02%,16.46%,76.84%,-7.73%,93.20%,59.17%,13.51%,10.71%,,723.73,1.44,1.82,-4.71%,1042426
5,"IMMP",65.87%,63.51%,114.29%,219.44%,115.63%,92.74%,27.90%,11.13%,2.00,5671.42,0.71,3.33,-3.48%,4028217
6,"JAGX",-0.43%,96.73%,4.36%,-22.59%,-32.64%,-50.39%,15.86%,20.15%,1.00,15526.00,2.57,0.42,5.81%,39853455
7,"NURO",-5.69%,64.91%,73.01%,61.14%,-31.88%,-34.42%,14.79%,10.49%,2.00,1326.07,0.23,2.60,-7.80%,304772
8,"NXTD",23.76%,54.55%,26.88%,-2.36%,-3.75%,8.33%,14.44%,14.05%,3.00,4528.35,65.02,0.92,89.50%,294454847
9,"OCX",22.22%,45.40%,73.29%,6.30%,25.87%,12.44%,16.39%,9.49%,2.10,2006.67,2.39,2.63,3.95%,4804355
10,"PIRS",15.93%,14.65%,8.68%,3.64%,-3.99%,-13.54%,10.51%,7.30%,1.50,401.50,1.34,2.92,-6.71%,539663
11,"SIOX",11.37%,32.71%,-17.92%,-13.68%,-52.19%,-44.53%,12.78%,10.52%,1.80,2030.97,22.47,3.10,9.15%,45641237
12,"SRTS",20.81%,69.81%,74.42%,45.63%,24.65%,27.12%,7.83%,8.04%,2.00,22.15,8.08,3.90,-13.33%,179018
13,"XELB",30.69%,38.95%,91.30%,29.40%,-17.50%,-12.00%,11.73%,12.06%,3.00,432.40,1.29,1.19,-9.85%,558635
