"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",36017.60,50.99,28.29,5.48,6.75,7.44,24.99,62.10,0.66%,30.30%,2.30,-31.60%,12.56%,12.00%,9.30%,5.70%,14.40%,8.50%,309.00,304.40,0.40%,-15.92%,90.10%,-1.02%,1.06%,2.08,7.50%,14.80%,10.00%,2.30,1.80,0.47,0.48,53.10%,15.80%,13.50%,0.02%,0.42%,16.30%,33.23%,37.60%,37.60%,1.06,2.43,1.57%,1.87%,1.26%,5.63%,24.75%,-1.46%,17.72%,-1.46%,93.83%,60.97,0.77%,0.17%,2.20,1547.26,0.84,118.49,0.94%,1306182,11/23/2020 4:30:00 PM,121.94,11/18/1999,118.49,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",4317.58,,30.81,,0.46,1.26,2.49,17.84,,,-2.53,-559.70%,153.60%,-34.10%,,-4.50%,77.80%,-7.90%,186.00,184.84,0.20%,-0.13%,76.90%,2.30%,5.37%,1.78,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,6.20%,15.33%,97.33%,109.59%,6.69%,6.69%,2.56,1.12,4.33%,5.25%,2.62%,23.84%,78.95%,-4.63%,89.71%,-4.63%,346.71%,62.73,0.22%,0.22%,2.60,5575.34,0.62,23.05,0.44%,3443154,10/14/2020 4:30:00 PM,19.17,10/18/2016,23.05,0.00%
3,"AAAU","Perth Mint Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83%,6.67%,0.37%,6.73%,24.55%,24.55%,,0.20,0.77%,0.87%,2.26%,1.75%,4.28%,-2.77%,7.49%,-8.17%,30.71%,61.12,0.26%,0.11%,,523.57,0.54,18.94,0.37%,282506,,,8/15/2018,,
4,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",37.75,,,,1.61,1.04,2.21,,,,-0.62,-37.70%,,-48.00%,25.00%,-22.50%,154.90%,3.90%,34.43,31.74,18.70%,0.00%,0.04%,-58.05%,0.01%,0.03,-16.40%,-38.80%,-45.00%,0.50,0.50,0.00,0.01,34.50%,,-68.30%,0.85%,-2.46%,7.69%,-9.16%,-12.56%,-12.56%,1.68,0.06,6.59%,4.91%,-0.54%,1.27%,10.27%,-8.46%,10.19%,-36.36%,94.44%,49.43,-0.83%,0.84%,,80.40,0.40,1.19,0.00%,32248,11/12/2020 4:30:00 PM,,1/29/2008,1.18,-0.84%
5,"AACQ","Artius Acquisition Inc.","Financial","Shell Companies","USA",,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,0.19%,5.23%,5.33%,,,4.70%,,0.17,1.95%,1.65%,3.04%,6.37%,6.77%,-1.94%,11.02%,-1.94%,11.02%,74.14,1.72%,-0.19%,,577.65,1.88,10.63,1.53%,1083408,,,9/4/2020,10.64,0.09%
6,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99%,6.48%,11.20%,15.13%,14.04%,14.04%,,0.69,0.70%,0.72%,2.55%,5.41%,14.87%,-1.30%,15.21%,-1.30%,80.41%,62.35,-0.96%,0.03%,,10.39,0.62,60.89,-0.93%,6452,,,7/21/2010,,
7,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",126.04,,13.57,,70.02,0.65,14.16,5.95,,,-1.49,109.80%,8.63%,-3.90%,,8.00%,149.90%,-53.90%,34.66,32.47,2.20%,-2.64%,36.30%,-10.54%,2.56%,3.54,-2.70%,-24.60%,0.30%,,,0.97,3.50,,,,-1.05%,17.13%,32.39%,29.21%,-32.50%,-32.50%,1.84,0.15,3.33%,4.31%,2.11%,18.44%,33.13%,-7.58%,58.82%,-44.17%,170.00%,65.90,-0.26%,0.80%,2.70,235.18,0.86,3.78,0.53%,202742,11/3/2020 4:30:00 PM,3.75,12/23/1997,3.78,0.03%
8,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",9914.16,,,,0.40,,1.20,,,,-13.85,25.20%,72.80%,-0.70%,,1.40%,-590.60%,-73.40%,509.05,502.83,0.93%,0.00%,45.40%,-5.11%,31.98%,2.09,-10.20%,219.80%,10.30%,0.70,0.60,,,51.80%,-29.10%,-25.60%,4.33%,14.30%,31.41%,26.07%,-43.69%,-43.69%,1.82,0.83,3.66%,5.45%,-4.27%,11.76%,23.05%,-15.35%,48.35%,-48.77%,91.15%,51.49,-1.93%,-0.43%,3.50,77039.44,0.74,15.77,-2.35%,57335507,10/22/2020 8:30:00 AM,11.36,12/9/2013,15.74,-0.19%
9,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",38.21,,,,9.32,,1.24,6.82,,,-12.65,74.20%,,-15.80%,,-48.20%,45.40%,,1.63,0.61,6.30%,0.00%,15.40%,-12.54%,0.77%,1.00,-6.30%,1.70%,4.50%,,,,,,,-89.10%,5.79%,2.62%,9.71%,36.14%,67.26%,89.83%,0.64,0.79,2.68%,2.22%,2.72%,4.53%,28.08%,-8.64%,24.43%,-26.86%,131.18%,56.75,-1.75%,2.37%,,4.68,0.25,23.58,0.58%,1174,,,12/13/2012,,
10,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",43.15,63.64,,,0.23,0.34,4.85,9.18,,34.00%,0.03,28.70%,,-17.10%,,3.60%,210.50%,-2.90%,20.44,4.08,2.80%,0.00%,5.50%,0.53%,0.06%,0.31,0.30%,1.00%,1.10%,,,0.26,0.26,,2.10%,0.60%,0.00%,-1.87%,1.94%,12.00%,19.32%,6.60%,0.27,0.09,2.31%,4.11%,-4.66%,-4.10%,2.64%,-11.59%,3.00%,-40.80%,30.38%,41.98,-3.74%,1.90%,,7.86,0.99,2.06,-1.90%,7783,,,3/17/1980,2.08,0.97%
