"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",38626.24,55.20,30.62,5.93,7.23,8.06,26.81,66.60,0.61%,30.30%,2.30,-31.60%,12.56%,12.00%,9.30%,5.70%,14.40%,8.50%,309.00,304.40,0.40%,-16.04%,90.10%,-1.03%,1.06%,1.97,7.50%,14.80%,10.00%,2.30,1.80,0.47,0.48,53.10%,15.80%,13.50%,7.23%,8.59%,21.99%,42.09%,45.59%,7.23%,1.05,2.59,2.68%,1.98%,7.16%,11.72%,31.86%,-0.33%,26.23%,-0.33%,107.85%,79.02,0.45%,0.26%,2.20,1630.54,0.97,127.06,0.71%,1577237,11/23/2020 4:30:00 PM,121.94,11/18/1999,127.06,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",4626.15,,33.54,,0.50,1.37,2.66,19.12,,,-2.53,-559.70%,154.40%,-34.10%,,-4.50%,77.80%,-7.90%,186.00,184.84,0.20%,-0.13%,76.90%,2.37%,5.37%,1.81,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,8.42%,7.30%,96.31%,119.02%,26.15%,8.42%,2.57,1.21,4.72%,5.08%,9.89%,26.88%,87.43%,-4.62%,105.68%,-4.62%,384.30%,70.22,-1.23%,0.28%,2.60,5498.89,0.54,24.99,-0.95%,2965104,1/20/2021 4:30:00 PM,19.17,10/18/2016,25.12,0.52%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.80%,-1.18%,-2.44%,2.56%,19.04%,-2.80%,,0.26,1.37%,0.95%,-1.61%,-1.18%,0.82%,-5.49%,4.48%,-10.74%,27.05%,42.97,-1.97%,-1.42%,,532.95,2.28,18.41,-3.36%,1217342,,,8/15/2018,18.40,-0.05%
4,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",39.41,,,,1.67,1.08,2.29,,,,-0.62,-37.70%,,-48.00%,25.00%,-22.50%,154.90%,3.90%,34.43,31.74,18.70%,0.00%,0.04%,-58.02%,0.01%,0.03,-16.40%,-38.80%,-45.00%,0.50,0.50,0.00,0.01,34.50%,,-68.30%,4.29%,4.29%,13.85%,-13.82%,-14.52%,4.29%,1.67,0.06,5.84%,4.94%,3.17%,5.48%,13.93%,-4.54%,14.91%,-33.64%,102.78%,55.21,-2.28%,0.11%,,81.86,0.22,1.24,-2.18%,18182,11/12/2020 4:30:00 PM,,1/29/2008,1.29,3.95%
5,"AACQ","Artius Acquisition Inc.","Financial","Shell Companies","USA",,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,-0.94%,2.13%,7.61%,,,-0.94%,,0.19,2.04%,1.84%,0.73%,4.47%,5.37%,-2.95%,9.97%,-2.95%,9.97%,60.89,-0.09%,0.00%,,600.97,1.29,10.53,-0.09%,777636,,,9/4/2020,10.54,0.09%
6,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33%,7.03%,10.81%,13.49%,14.40%,3.33%,,0.71,1.03%,0.81%,4.63%,7.98%,17.27%,0.69%,19.05%,0.69%,86.43%,72.38,0.19%,0.62%,,11.58,0.17,62.92,0.82%,1920,,,7/21/2010,,
7,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",132.00,,14.33,,73.33,0.68,14.83,6.23,,,-1.49,109.80%,8.63%,-3.90%,,8.00%,149.90%,-53.90%,34.66,32.47,2.20%,0.00%,36.30%,-10.62%,2.56%,3.48,-2.70%,-24.60%,0.30%,,,0.97,3.50,,,,5.03%,4.47%,34.58%,40.28%,-28.85%,5.03%,1.85,0.15,4.05%,4.06%,5.43%,20.03%,37.63%,-2.93%,66.81%,-41.36%,183.57%,72.69,-1.98%,3.05%,2.70,238.88,0.90,3.97,1.02%,214196,11/3/2020 4:30:00 PM,3.75,12/23/1997,3.97,0.00%
8,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",9374.25,,,,0.38,,1.13,,,,-13.85,25.20%,72.80%,-0.70%,,1.40%,-590.60%,-73.40%,509.05,502.83,0.93%,0.00%,45.40%,-5.06%,31.98%,2.12,-10.20%,219.80%,10.30%,0.70,0.60,,,51.80%,-29.10%,-25.60%,-4.06%,-14.18%,15.01%,26.72%,-45.87%,-4.06%,1.83,0.80,4.33%,4.76%,-6.75%,5.12%,17.11%,-18.79%,42.33%,-50.84%,83.39%,45.88,-1.82%,0.20%,3.50,75962.77,0.73,15.13,-1.63%,55182525,10/22/2020 8:30:00 AM,11.36,12/9/2013,15.13,0.00%
9,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",36.27,,,,8.85,,1.18,6.48,,,-12.65,74.20%,,-15.80%,,-48.20%,45.40%,,1.63,0.61,6.30%,0.00%,15.40%,-12.61%,0.77%,0.98,-6.30%,1.70%,4.50%,,,,,,,-89.10%,-5.05%,-2.86%,6.62%,41.44%,60.96%,-5.05%,0.64,0.74,3.20%,2.59%,-2.91%,-2.09%,21.31%,-13.25%,17.84%,-30.55%,118.44%,44.75,0.27%,-0.27%,,4.79,0.13,22.39,0.00%,626,,,12/13/2012,,
10,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",50.20,73.03,,,0.27,0.38,5.64,10.68,,34.00%,0.03,28.70%,,-17.10%,,3.60%,210.50%,-2.90%,20.44,4.08,2.80%,0.00%,5.50%,0.53%,0.06%,0.09,0.30%,1.00%,1.10%,,,0.26,0.26,,2.10%,0.60%,16.99%,13.15%,19.31%,48.77%,27.54%,16.99%,0.27,0.15,10.79%,5.95%,9.76%,11.77%,20.47%,-13.62%,20.50%,-30.75%,52.53%,59.60,2.12%,0.00%,,28.42,0.96,2.41,2.12%,27301,,,3/17/1980,2.41,0.00%
