"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"IFMK",2.56%,10.07%,-5.63%,-26.62%,101.86%,100.76%,6.74%,8.27%,,241.24,7.88,0.90,10.53%,1900738
2,"PHX",-3.39%,30.29%,27.37%,-23.49%,-80.29%,-79.66%,9.08%,9.85%,1.00,186.94,3.66,2.51,10.09%,683580
3,"EYES",4.79%,85.25%,77.91%,40.37%,-75.72%,-74.23%,5.50%,17.07%,2.00,1583.64,0.77,1.67,9.15%,1212489
4,"CCLP",0.00%,49.35%,15.00%,31.44%,-53.06%,-57.64%,6.88%,8.45%,4.50,72.82,1.58,1.25,8.70%,115343
5,"OEG",2.56%,62.80%,130.33%,68.33%,0.84%,9.09%,10.49%,20.75%,,4264.75,0.44,1.29,7.50%,1886135
6,"QUIK",0.96%,5.70%,-4.26%,-12.50%,-30.75%,-47.50%,4.98%,5.22%,2.00,57.47,3.62,3.38,7.30%,208184
7,"USIO",-6.54%,29.87%,-12.28%,1.01%,0.50%,28.21%,6.91%,7.97%,1.80,235.52,2.38,2.13,6.75%,560436
8,"AIHS",-8.70%,-2.78%,133.33%,42.35%,56.72%,56.72%,6.91%,12.12%,,6349.48,0.27,1.12,6.67%,1704910
9,"SVRA",3.20%,22.86%,1.57%,-50.57%,-14.57%,-71.21%,10.27%,9.47%,2.00,243.51,2.60,1.36,5.43%,633218
10,"BWEN",3.52%,5.37%,35.53%,27.16%,131.46%,148.19%,9.10%,9.22%,2.00,312.94,1.15,4.33,5.10%,361270
11,"SLGG",-13.44%,12.31%,17.74%,-14.79%,-22.61%,-7.20%,9.86%,8.53%,1.50,428.36,1.89,2.30,5.02%,809692
12,"HDSN",-23.94%,-7.69%,-5.26%,8.00%,50.52%,10.49%,10.54%,10.93%,3.00,556.75,1.38,1.13,4.63%,770133
13,"DTEA",48.59%,115.75%,187.90%,160.40%,53.80%,80.14%,17.36%,14.45%,,522.63,1.66,2.75,4.56%,867356
14,"MOHO",-10.92%,54.74%,40.40%,-20.30%,-75.60%,-63.42%,6.02%,17.32%,3.00,701.60,0.02,2.21,4.25%,15269
15,"SDPI",-13.58%,10.95%,28.74%,-41.08%,-41.32%,-38.44%,7.05%,10.83%,3.00,608.05,0.36,0.53,4.24%,219899
16,"CTXR",-9.17%,16.61%,4.81%,24.93%,82.06%,6.86%,6.15%,6.22%,2.00,773.90,0.84,1.13,3.67%,647357
17,"GEN",-5.03%,8.23%,-19.32%,-31.90%,-67.44%,-68.23%,9.18%,7.71%,3.00,1172.07,0.81,0.54,3.65%,951696
18,"NAVB",2.54%,-22.01%,-31.29%,-46.42%,93.91%,60.32%,7.03%,5.94%,2.00,233.50,1.19,2.09,3.47%,278358
19,"EYPT",2.74%,4.65%,-23.84%,-49.22%,-69.59%,-70.97%,7.37%,9.76%,2.00,154.05,2.95,4.64,3.11%,454021
20,"SLRX",-39.18%,16.43%,-5.81%,-45.30%,-80.31%,-78.44%,8.74%,14.66%,1.50,569.52,0.39,0.84,3.07%,224808
21,"ANIX",-13.69%,26.64%,5.04%,12.92%,-8.75%,-17.38%,15.95%,15.58%,2.00,505.91,0.38,2.79,2.95%,193408
22,"PTE",-5.42%,-26.26%,-43.69%,-52.72%,-76.36%,-76.18%,8.09%,9.13%,2.30,1114.48,0.71,0.64,2.94%,788885
23,"XPL",7.58%,19.93%,8.57%,70.48%,81.30%,72.24%,8.15%,8.28%,,1141.25,0.43,0.53,2.92%,495768
24,"MLND",8.63%,37.18%,32.10%,-22.18%,-65.71%,-68.25%,8.48%,6.88%,1.70,371.51,2.51,2.20,2.80%,931921
25,"PTN",0.73%,5.99%,-20.36%,-14.80%,-42.85%,-45.26%,4.57%,5.85%,1.30,1339.44,1.45,0.44,2.78%,1937748
26,"GLMD",-6.88%,-7.14%,-18.75%,-39.48%,-40.37%,-43.77%,11.08%,8.21%,1.80,95.52,2.21,3.34,2.77%,211509
27,"STCN",-18.37%,14.96%,34.82%,15.06%,-45.39%,-46.88%,15.08%,10.89%,,150.47,1.36,0.80,2.76%,203976
28,"STSA",-3.44%,13.84%,3.02%,-85.07%,-73.13%,-75.76%,6.44%,6.76%,2.80,481.70,0.88,4.89,2.62%,424542
29,"NSPR",-8.78%,-6.88%,-8.88%,-34.10%,-66.91%,-70.18%,7.59%,7.55%,2.00,1168.61,0.68,0.33,2.45%,790717
30,"WATT",0.57%,-10.26%,-44.97%,-26.16%,-6.91%,-1.13%,5.68%,7.61%,1.50,1732.31,0.77,1.79,2.29%,1339346
31,"CANF",-3.68%,3.39%,-3.17%,2.81%,-37.76%,-44.55%,8.98%,6.53%,2.00,451.65,0.25,1.87,2.19%,112769
32,"PT",2.54%,12.70%,-6.83%,-34.97%,30.95%,-46.76%,6.33%,7.98%,,249.64,0.89,0.99,2.12%,221598
33,"DOGZ",2.70%,-4.04%,68.14%,14.46%,27.75%,42.86%,6.33%,10.90%,,796.54,0.03,1.94,2.11%,24109
34,"GENE",-8.47%,10.56%,-10.19%,59.52%,55.09%,68.33%,6.73%,8.47%,,918.23,0.31,3.42,2.09%,287669
35,"AFI",0.30%,7.99%,-21.76%,9.03%,-21.03%,-20.84%,5.55%,6.58%,3.00,382.56,0.42,3.45,2.07%,161939
36,"NDRA",-13.53%,-11.87%,-2.20%,-30.00%,-26.50%,-56.25%,11.40%,9.42%,2.00,252.34,3.03,0.75,2.04%,763391
37,"STKS",-0.63%,4.32%,49.52%,66.14%,-3.98%,-13.74%,7.14%,7.00%,2.30,87.04,2.40,3.20,1.91%,209222
38,"PFMT",0.14%,19.17%,23.52%,14.00%,-7.49%,-27.35%,4.10%,8.97%,3.00,588.89,0.65,0.75,1.89%,382116
39,"SPCB",2.86%,36.69%,23.15%,-40.17%,63.64%,74.22%,8.84%,10.27%,3.00,1423.38,0.58,1.10,1.85%,830680
40,"AACG",0.16%,4.42%,11.32%,24.21%,-25.79%,-13.29%,3.45%,4.78%,,79.90,0.12,1.20,1.71%,9939
41,"VERO",-4.48%,-3.18%,-9.75%,-42.74%,-62.96%,-54.68%,6.15%,6.74%,1.60,97.79,1.89,2.16,1.64%,185112
42,"SRAX",-3.34%,-16.04%,-10.22%,4.68%,79.56%,-1.20%,6.06%,6.50%,2.00,73.80,2.65,2.50,1.63%,195359
43,"CETX",-3.79%,7.63%,23.30%,-30.98%,3.24%,-2.31%,5.29%,7.83%,2.00,1207.11,1.16,1.29,1.57%,1400216
44,"AKTX",2.63%,17.47%,12.72%,-4.88%,8.33%,11.43%,11.62%,8.64%,2.00,176.16,0.98,1.98,1.54%,171896
45,"VTNR",-10.58%,33.48%,34.46%,-15.70%,-58.12%,-58.40%,9.57%,12.85%,1.70,572.90,0.36,0.65,1.45%,206698
46,"ASLN",0.49%,27.78%,35.29%,7.81%,-19.46%,1.97%,8.32%,8.52%,2.30,416.86,0.39,2.10,1.45%,160590
47,"GNLN",4.12%,51.41%,89.43%,20.79%,52.48%,32.10%,10.25%,11.33%,1.60,333.00,1.55,4.36,1.40%,514596
48,"AGE",-1.79%,15.38%,80.23%,94.12%,20.44%,-9.34%,5.51%,7.40%,,5720.27,0.09,1.67,1.21%,502027
49,"RAIL",-21.18%,61.15%,0.40%,56.17%,21.05%,22.22%,10.10%,13.32%,3.00,976.29,0.43,2.56,1.19%,420956
