"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",35968.51,50.93,28.25,5.48,6.74,7.43,24.96,62.01,0.67%,30.30%,2.30,-31.60%,12.56%,12.00%,9.30%,5.70%,14.40%,8.50%,309.00,304.40,0.40%,-15.92%,90.10%,-1.02%,1.06%,2.07,7.50%,14.80%,10.00%,2.30,1.80,0.47,0.48,53.10%,15.80%,13.50%,-0.47%,2.75%,16.97%,32.66%,38.08%,37.42%,1.06,2.52,1.57%,1.95%,0.41%,4.87%,23.89%,-2.37%,16.63%,-2.37%,92.03%,57.32,-0.40%,0.54%,2.20,1550.99,0.71,117.39,0.14%,1099880,11/23/2020 4:30:00 PM,121.94,11/18/1999,117.39,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",4146.39,,29.58,,0.44,1.21,2.39,17.13,,,-2.53,-559.70%,153.60%,-34.10%,,-4.50%,77.80%,-7.90%,186.00,184.84,0.20%,-0.13%,76.90%,2.30%,5.37%,1.77,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,-0.32%,7.62%,88.86%,96.09%,3.28%,2.46%,2.56,1.10,3.91%,5.18%,2.43%,24.68%,79.28%,-5.05%,88.89%,-5.05%,344.77%,62.21,3.99%,0.14%,2.60,5608.33,0.61,22.95,4.13%,3394021,10/14/2020 4:30:00 PM,19.17,10/18/2016,22.95,0.00%
3,"AAAU","Perth Mint Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21%,5.11%,-1.01%,5.23%,23.83%,23.50%,,0.20,0.83%,0.88%,2.11%,1.36%,4.00%,-3.13%,7.09%,-8.51%,30.23%,59.41,0.69%,0.16%,,525.75,0.76,18.87,0.86%,400169,,,8/15/2018,,
4,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",37.75,,,,1.61,1.04,2.21,,,,-0.62,-37.70%,,-48.00%,25.00%,-22.50%,154.90%,3.90%,34.43,31.74,18.70%,0.00%,0.04%,-58.05%,0.01%,0.03,-16.40%,-38.80%,-45.00%,0.50,0.50,0.00,0.01,34.50%,,-68.30%,-0.83%,-4.03%,5.47%,-5.56%,-13.77%,-12.56%,1.68,0.06,6.93%,4.86%,-0.37%,1.22%,10.41%,-15.00%,10.19%,-36.36%,94.44%,49.43,1.71%,-1.68%,,80.35,0.27,1.19,0.00%,21848,11/12/2020 4:30:00 PM,,1/29/2008,1.19,0.00%
5,"AACQ","Artius Acquisition Inc.","Financial","Shell Companies","USA",,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,1.35%,5.93%,6.04%,,,5.40%,,0.17,2.00%,1.61%,1.75%,4.91%,5.23%,-3.41%,9.35%,-3.41%,9.35%,67.44,-0.48%,-0.19%,,560.54,2.00,10.47,-0.66%,1119814,,,9/4/2020,10.50,0.29%
6,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80%,4.57%,9.55%,14.23%,11.89%,12.32%,,0.64,0.72%,0.72%,3.57%,6.40%,16.02%,0.78%,16.12%,0.78%,81.83%,67.38,0.27%,1.11%,,10.38,0.68,61.37,1.38%,7060,,,7/21/2010,,
7,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",127.38,,13.72,,70.76,0.65,14.31,6.01,,,-1.49,109.80%,8.63%,-3.90%,,8.00%,149.90%,-53.90%,34.66,32.47,2.20%,-2.64%,36.30%,-10.54%,2.56%,3.57,-2.70%,-24.60%,0.30%,,,0.97,3.50,,,,0.00%,13.77%,33.33%,27.95%,-32.26%,-31.78%,1.84,0.15,3.19%,4.33%,2.17%,18.63%,32.51%,-8.07%,57.98%,-44.46%,168.57%,64.85,0.00%,-1.05%,2.70,232.89,1.34,3.76,-1.05%,311088,11/3/2020 4:30:00 PM,3.75,12/23/1997,3.79,0.80%
8,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",9736.14,,,,0.40,,1.18,,,,-13.85,25.20%,72.80%,-0.70%,,1.40%,-590.60%,-73.40%,509.05,502.83,0.93%,0.00%,45.40%,-5.11%,31.98%,2.08,-10.20%,219.80%,10.30%,0.70,0.60,,,51.80%,-29.10%,-25.60%,-1.49%,5.87%,29.47%,21.35%,-43.96%,-44.70%,1.82,0.85,4.25%,5.66%,-1.40%,15.04%,26.04%,-13.31%,51.93%,-47.53%,95.76%,55.18,1.83%,0.00%,3.50,77291.95,0.63,16.15,1.83%,49055067,10/22/2020 8:30:00 AM,11.36,12/9/2013,16.13,-0.12%
9,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",38.30,,,,9.34,,1.25,6.84,,,-12.65,74.20%,,-15.80%,,-48.20%,45.40%,,1.63,0.61,6.30%,0.00%,15.40%,-12.54%,0.77%,1.04,-6.30%,1.70%,4.50%,,,,,,,-89.10%,2.26%,2.17%,4.44%,40.21%,72.12%,90.28%,0.64,0.75,1.88%,2.13%,2.30%,4.20%,27.32%,-9.17%,23.72%,-27.28%,129.84%,55.67,1.31%,-1.53%,,4.49,3.50,23.44,-0.23%,15723,,,12/13/2012,,
10,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",43.15,63.64,,,0.23,0.34,4.85,9.18,,34.00%,0.03,28.70%,,-17.10%,,3.60%,210.50%,-2.90%,20.44,4.08,2.80%,0.00%,5.50%,0.53%,0.06%,0.31,0.30%,1.00%,1.10%,,,0.26,0.26,,2.10%,0.60%,-0.47%,2.14%,5.98%,25.00%,8.62%,6.60%,0.27,0.10,3.31%,4.26%,-2.95%,-2.29%,4.51%,-9.87%,10.53%,-39.66%,32.91%,45.60,-2.33%,2.38%,,7.79,0.90,2.10,0.00%,6985,,,3/17/1980,2.10,0.00%
