"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"ACRS",-4.15%,4.24%,67.23%,165.54%,109.04%,107.94%,9.44%,7.76%,1.20,415.96,2.04,4.59,16.79%,848745
2,"ANCN",-0.65%,10.00%,43.93%,14.91%,-4.35%,10.00%,16.11%,10.19%,3.00,466.55,198.06,2.88,87.01%,92406117
3,"BRN",18.69%,28.28%,77.62%,66.89%,73.97%,23.30%,9.65%,7.39%,,407.36,4.32,1.61,26.66%,1758050
4,"CCNC",-8.53%,-7.14%,35.65%,-20.42%,57.64%,30.00%,7.99%,9.31%,,701.88,1.46,1.91,22.44%,1022240
5,"IMMP",43.06%,53.33%,85.71%,162.28%,79.04%,67.04%,22.68%,10.20%,2.00,5462.57,2.39,3.45,15.38%,13029037
6,"JAGX",-18.11%,59.69%,-13.13%,-36.64%,-41.97%,-58.55%,11.59%,18.74%,1.00,14497.47,4.59,0.40,19.70%,66523039
7,"NURO",13.95%,40.80%,51.23%,38.42%,-43.68%,-43.02%,24.69%,9.73%,2.00,1305.49,1.05,2.82,15.10%,1371699
8,"NXTD",0.80%,24.72%,10.01%,-22.87%,-21.15%,-10.89%,8.97%,13.06%,3.00,4354.03,2.58,0.49,21.57%,11235393
9,"OCX",7.07%,26.19%,46.21%,-16.54%,-4.07%,-5.78%,8.56%,7.60%,2.10,944.40,72.14,2.53,19.34%,68129085
10,"PIRS",-2.55%,0.75%,-9.18%,-16.82%,-18.84%,-26.24%,7.54%,6.63%,1.50,386.68,3.37,3.13,17.23%,1304236
11,"SIOX",-2.38%,17.14%,-32.42%,-26.57%,-55.52%,-51.95%,10.21%,10.30%,1.80,1900.88,4.11,2.84,15.45%,7814724
12,"SRTS",-1.92%,34.59%,35.08%,14.38%,-1.06%,1.13%,4.97%,6.93%,2.00,20.49,5.85,4.50,25.70%,119768
13,"XELB",6.73%,8.82%,53.31%,1.83%,-31.48%,-26.00%,8.76%,11.64%,3.00,393.85,5.82,1.32,18.92%,2290295
