"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"OCGN",-0.37%,-7.92%,-11.98%,15.66%,-27.41%,-43.46%,3.61%,6.27%,2.20,8364.37,78.33,0.81,173.88%,655196012
2,"FRSX",-7.85%,92.34%,83.58%,14.29%,62.38%,69.25%,8.16%,16.38%,2.00,3986.89,10.23,3.23,83.52%,40785865
3,"AQMS",45.69%,86.74%,87.15%,40.83%,243.64%,123.75%,14.01%,12.56%,1.00,1046.85,40.78,2.50,47.93%,42690286
4,"LPTH",17.06%,20.35%,45.96%,12.46%,433.77%,373.10%,8.15%,7.72%,2.00,292.78,10.33,4.80,39.94%,3023965
5,"EYES",42.66%,142.28%,142.86%,90.65%,-67.06%,-65.63%,13.32%,18.98%,2.00,1680.68,2.49,2.81,37.75%,4188456
6,"AMTX",3.51%,16.83%,-22.62%,182.74%,140.82%,184.34%,6.39%,9.86%,2.00,1460.69,32.72,3.19,35.17%,47800826
7,"PTN",-2.58%,-2.05%,-16.08%,-33.02%,-43.94%,-45.54%,5.60%,5.64%,1.30,1369.28,14.13,0.56,32.63%,19347897
8,"USIO",11.98%,36.94%,-5.29%,2.87%,11.98%,37.82%,9.19%,8.58%,1.80,264.29,4.36,2.79,29.77%,1153288
9,"TKAT",32.83%,70.25%,110.27%,31.81%,248.00%,248.70%,29.36%,22.10%,,415.48,0.63,2.19,25.86%,261563
10,"SLGG",24.89%,46.81%,38.69%,8.24%,10.40%,16.95%,10.18%,9.46%,1.50,415.63,6.85,3.40,23.19%,2845019
11,"EMAN",19.83%,27.52%,16.81%,69.89%,297.54%,304.30%,9.26%,5.55%,2.00,777.14,10.64,1.70,22.30%,8267905
12,"PFMT",10.70%,7.95%,36.76%,27.53%,-3.48%,-19.57%,7.10%,8.18%,3.00,599.26,1.77,0.99,20.66%,1060406
13,"BLIN",2.91%,41.50%,48.17%,58.99%,86.18%,83.77%,7.03%,11.14%,,187.37,5.80,3.35,18.37%,1086486
14,"HUSN",7.61%,10.41%,56.65%,-23.81%,-45.50%,-46.82%,6.47%,8.52%,,813.79,11.17,3.46,16.50%,9091089
15,"JAGX",2.74%,52.96%,-1.16%,-36.61%,-45.48%,-57.42%,16.36%,20.63%,1.00,17145.82,5.67,0.40,16.04%,97157872
16,"EVOL",-11.47%,10.29%,85.58%,77.06%,121.84%,115.91%,8.84%,9.00%,2.00,96.79,4.29,2.23,15.54%,415154
17,"OLB",-2.07%,4.42%,6.25%,3.41%,-84.26%,-71.67%,12.67%,11.43%,1.50,89.55,12.87,4.90,15.29%,1152168
