"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"IPDN","Professional Diversity Network, Inc.","Industrials","Staffing & Employment Services","USA",18.30,,,,4.36,5.27,6.78,,,,-0.40,85.20%,,34.90%,,-15.50%,20.70%,0.00%,12.49,5.74,17.60%,0.00%,0.60%,-56.71%,3.37%,0.26,-75.70%,-227.50%,-108.40%,0.80,0.80,0.16,0.22,82.70%,-86.30%,,12.30%,-6.80%,29.25%,-52.10%,-59.23%,50.55%,2.21,0.16,7.72%,10.80%,93.15%,121.07%,102.87%,32.37%,182.47%,-31.16%,260.48%,78.05,44.21%,38.69%,,742.20,160.56,2.74,100.00%,119170014,,,3/5/2013,2.80,2.19%
2,"GHSI","Guardion Health Sciences, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",36.57,,,,19.25,3.18,3.73,,,,-0.12,22.50%,,-40.90%,,40.60%,63.30%,50.00%,88.32,84.89,3.89%,0.00%,5.00%,106.93%,0.48%,0.06,-68.10%,-75.30%,-87.50%,9.80,8.70,0.00,0.00,,,,56.91%,55.89%,91.70%,-13.04%,54.69%,73.07%,,0.04,26.09%,14.90%,120.64%,159.30%,67.93%,26.21%,256.36%,-20.54%,256.36%,82.08,51.94%,1.49%,,6964.47,31.49,0.59,54.21%,219287807,11/12/2020 4:30:00 PM,,4/5/2019,0.53,-9.86%
3,"NOVN","Novan, Inc.","Healthcare","Biotechnology","USA",99.62,,,,19.16,11.65,2.31,,,,-0.22,-137.60%,53.10%,-5.90%,,112.90%,82.70%,0.00%,133.69,128.86,8.94%,0.00%,8.00%,67.81%,4.34%,0.58,-49.90%,276.20%,128.90%,5.60,5.60,0.11,0.12,,,,2.97%,38.48%,42.69%,44.73%,-78.22%,-77.87%,-0.12,0.06,11.38%,11.53%,69.24%,93.02%,108.06%,38.16%,141.38%,-69.03%,388.37%,84.14,48.98%,0.80%,2.00,9590.51,15.03,1.05,50.17%,144119726,,,9/21/2016,1.02,-2.86%
4,"FGF","FG Financial Group, Inc.","Financial","Insurance - Diversified","USA",16.43,,,,,1.03,1.08,,,,-3.16,141.10%,,-25.40%,,-21.70%,,,5.89,3.33,3.70%,,94.50%,-18.30%,0.04%,0.05,-26.20%,-40.20%,5.20%,,,0.00,0.00,,,,-9.83%,4.77%,-14.28%,-31.53%,-28.57%,-40.22%,0.49,0.34,5.92%,8.84%,45.02%,51.58%,14.31%,2.34%,71.79%,-18.75%,71.79%,67.50,41.89%,2.72%,,24.61,108.10,4.81,45.75%,2660859,,,4/1/2014,5.09,5.82%
5,"CNFR","Conifer Holdings, Inc.","Financial","Insurance - Property & Casualty","USA",24.86,,,,0.25,0.60,3.27,5.07,,,-0.60,18.40%,96.70%,1.90%,15.00%,9.50%,143.60%,11.30%,9.63,5.48,5.00%,5.63%,33.10%,0.10%,0.02%,0.04,-2.30%,-13.80%,-6.80%,,,0.96,0.96,,-3.60%,-5.80%,18.83%,21.56%,5.58%,1.53%,-27.35%,-33.75%,1.14,0.20,13.36%,7.86%,58.55%,51.97%,29.55%,34.40%,75.67%,-8.45%,89.50%,81.44,-23.28%,86.42%,3.00,24.35,459.33,3.79,43.02%,11183485,11/11/2020 4:30:00 PM,2.50,8/13/2015,3.71,-2.11%
6,"CTRM","Castor Maritime Inc.","Industrials","Marine Shipping","Cyprus",22.31,,,,2.04,0.42,,,,,-0.02,,,,,,,124.20%,131.21,113.83,0.95%,0.00%,13.90%,,0.26%,0.03,,,,,,,,,,,7.26%,6.58%,6.25%,-57.50%,-90.74%,-90.81%,,0.02,13.56%,9.38%,37.94%,52.78%,-33.66%,5.82%,107.30%,-91.05%,107.30%,70.44,22.53%,11.76%,,11008.64,11.60,0.23,36.94%,127754212,,,2/11/2019,0.25,8.25%
7,"AIKI","AIkido Pharma Inc.","Healthcare","Biotechnology","USA",21.38,,,,2375.42,0.76,0.78,,,,-0.75,-282.90%,,57.80%,,,95.80%,,34.99,32.96,5.62%,0.00%,13.10%,-1.51%,2.10%,0.36,-49.20%,-50.70%,,59.60,59.60,0.00,0.00,,,,4.10%,23.51%,3.28%,-23.18%,-52.12%,-51.76%,1.83,0.07,13.54%,13.51%,35.69%,50.25%,21.68%,9.28%,84.71%,-84.25%,84.71%,67.42,26.47%,7.95%,,1933.42,10.69,0.86,36.53%,20676954,,,3/18/1980,0.90,4.65%
8,"SEAC","SeaChange International, Inc.","Technology","Software - Application","USA",38.89,,,,1.07,1.12,6.59,,,,-0.47,77.20%,41.70%,21.90%,,-10.30%,-339.80%,-75.60%,37.56,27.91,2.70%,0.00%,28.20%,-13.84%,0.94%,0.73,-27.60%,-41.30%,-17.90%,2.30,,0.03,0.07,58.30%,-52.20%,-48.20%,26.00%,0.00%,15.88%,-31.13%,-74.38%,-75.18%,0.71,0.10,11.87%,11.14%,55.79%,63.62%,-12.78%,26.36%,101.45%,-72.09%,101.45%,77.64,32.38%,0.96%,2.50,359.60,15.44,1.39,33.65%,5552921,12/10/2020 4:30:00 PM,,11/5/1996,1.34,-3.60%
9,"AZRX","AzurRx BioPharma, Inc.","Healthcare","Biotechnology","USA",23.98,,,,,1.59,2.10,,,,-0.88,22.80%,42.10%,-22.50%,,,-181.20%,,28.52,27.04,11.09%,0.00%,5.20%,11.05%,0.41%,0.68,-243.00%,-472.30%,,4.40,4.40,0.00,0.00,,,,1.38%,0.80%,7.86%,-13.84%,-25.65%,-24.93%,1.77,0.05,5.12%,5.82%,33.12%,36.03%,30.62%,19.55%,55.20%,-46.34%,180.42%,79.97,32.50%,0.54%,2.00,164.32,19.13,1.04,33.21%,3144161,,,10/11/2016,0.95,-8.65%
10,"NHLD","National Holdings Corporation","Financial","Capital Markets","USA",34.99,,,,0.16,0.77,1.14,7.78,,,-0.25,93.10%,,-15.40%,,2.90%,-403.80%,21.50%,13.52,9.30,4.40%,337.47%,61.70%,17.19%,0.43%,0.88,-3.50%,-6.80%,3.60%,,,0.00,0.14,8.90%,-1.10%,-1.50%,-0.46%,3.70%,26.85%,38.44%,2.92%,6.95%,1.54,0.18,6.45%,7.08%,26.74%,43.26%,64.54%,5.23%,95.43%,5.23%,205.36%,75.48,15.93%,8.17%,,45.76,6.84,3.42,25.40%,312871,,,6/23/1987,2.85,-16.67%
11,"CHEK","Check-Cap Ltd.","Healthcare","Diagnostics & Research","Israel",16.08,,,,,0.70,0.75,,,,-1.01,33.60%,36.40%,12.40%,,,79.50%,,46.24,42.68,8.59%,0.00%,4.50%,-23.76%,1.81%,0.39,-90.10%,-112.20%,,8.30,8.30,0.00,0.00,,,,8.39%,-15.88%,-1.43%,-42.17%,-79.47%,-79.95%,0.43,0.04,15.16%,9.63%,21.49%,29.27%,-17.11%,-4.22%,77.37%,-81.81%,77.37%,65.11,13.42%,10.18%,2.00,1984.47,7.25,0.43,24.96%,14378413,,,3/18/2015,0.43,0.02%
