"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"AIKI",-4.29%,15.93%,6.90%,-23.22%,-45.49%,-52.51%,13.47%,11.49%,,1712.23,0.75,0.61,-2.40%,1286569
2,"AQMS",29.06%,54.08%,58.51%,24.79%,195.90%,99.92%,13.57%,12.69%,1.00,1018.83,1.99,1.69,11.92%,2027863
3,"ATNF",11.24%,22.57%,-74.77%,-73.67%,-72.57%,-74.10%,18.08%,15.83%,,625.62,2.72,2.70,-2.53%,1698589
4,"CWBR",11.02%,31.78%,35.58%,-38.70%,-17.54%,-11.88%,9.17%,7.85%,2.00,500.57,0.94,1.39,-1.42%,472669
5,"EDTK",20.54%,16.99%,16.99%,,,-24.63%,10.40%,7.13%,,61.93,1.50,3.23,-9.78%,92675
6,"HGBL",39.45%,85.37%,21.12%,58.33%,255.56%,210.84%,12.44%,8.99%,1.70,185.47,2.31,3.01,-0.99%,428214
7,"IMH",-14.00%,74.32%,116.81%,38.71%,-46.91%,-50.95%,14.28%,11.36%,,151.65,0.52,2.65,2.71%,78909
8,"LPTH",15.79%,21.80%,43.67%,15.79%,461.49%,385.52%,8.81%,7.81%,2.00,294.63,0.59,3.43,-2.56%,172788
9,"METX",-12.28%,-37.69%,-76.44%,-84.10%,-80.26%,-80.53%,15.79%,11.24%,,175.66,3.66,1.93,-3.50%,642080
10,"NXTD",266.05%,286.45%,288.19%,150.05%,170.59%,206.60%,53.26%,22.34%,3.00,17283.76,3.58,1.36,-1.45%,61849751
11,"SNCA",37.35%,57.50%,63.13%,15.75%,-0.53%,-4.55%,20.91%,10.48%,,1450.85,1.96,0.79,-16.92%,2845577
12,"TKAT",74.86%,104.46%,163.22%,75.28%,358.00%,358.92%,26.06%,21.39%,,409.66,0.87,1.74,-24.02%,357938
13,"ZCMD",4.62%,2.26%,4.02%,-18.47%,,-54.75%,12.58%,6.70%,,316.94,0.68,1.79,-1.10%,214018
