"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"USIO",11.98%,36.94%,-5.29%,2.87%,11.98%,37.82%,9.19%,8.58%,1.80,264.29,4.36,2.79,29.77%,1153076
2,"PFMT",10.70%,7.95%,36.76%,27.53%,-3.48%,-19.57%,7.10%,8.18%,3.00,599.26,1.77,0.99,20.66%,1060406
3,"REPH",-13.41%,50.76%,29.69%,-39.76%,-83.25%,-83.80%,12.10%,12.44%,1.00,834.86,1.85,3.28,10.44%,1541746
4,"FEDU",-2.45%,14.06%,20.65%,-16.87%,-47.26%,-38.69%,5.08%,7.43%,3.00,197.53,0.59,1.08,10.10%,115906
5,"PULM",-10.61%,12.38%,2.61%,-39.49%,43.50%,37.21%,6.79%,6.68%,,467.54,2.29,1.29,9.32%,1072718
6,"REFR",-0.37%,-1.10%,11.11%,-47.27%,-14.83%,-10.30%,12.84%,8.67%,,208.72,1.12,2.95,9.26%,234524
7,"ENG",-3.43%,62.50%,108.64%,64.08%,65.74%,72.45%,7.18%,22.38%,,2413.57,0.57,1.84,8.88%,1368746
8,"UTSI",-8.33%,38.95%,21.10%,-23.26%,-55.25%,-55.25%,9.35%,13.03%,,800.16,0.23,1.43,8.33%,185489
9,"ICON",-3.64%,35.93%,46.81%,-4.93%,-3.64%,-21.48%,7.25%,11.49%,2.00,1357.73,0.20,1.14,7.55%,266444
10,"SRAX",4.03%,-11.64%,-7.53%,13.61%,81.69%,3.61%,5.47%,6.20%,2.00,76.60,3.01,2.76,6.98%,230650
11,"AFI",1.20%,7.30%,-16.95%,11.55%,-18.16%,-20.84%,5.17%,6.52%,3.00,373.96,0.79,3.59,6.21%,296458
12,"ATHE",-0.67%,-15.82%,-26.60%,138.36%,81.71%,91.03%,4.49%,6.49%,,2277.47,0.40,1.58,6.04%,920081
13,"CDTX",-2.44%,-19.68%,-34.21%,-48.85%,-17.01%,-47.92%,6.75%,7.77%,1.70,279.88,3.53,2.12,6.00%,986827
14,"SYBX",-14.57%,4.33%,5.34%,-2.25%,-2.25%,-15.89%,6.22%,11.74%,1.60,1097.88,0.44,2.30,5.99%,478294
15,"TENX",-5.50%,0.98%,-46.07%,-0.96%,-11.97%,-26.95%,4.94%,8.90%,,193.30,0.70,1.09,5.83%,135307
16,"TGA",-10.26%,79.33%,108.55%,43.37%,-42.61%,-39.70%,8.59%,14.38%,2.50,789.02,0.33,0.88,5.76%,264233
17,"AEHR",5.85%,32.32%,43.71%,11.28%,17.93%,8.50%,3.27%,7.39%,,337.06,0.53,2.29,5.53%,179579
18,"AKTX",-4.64%,16.35%,10.12%,-13.95%,4.52%,5.71%,6.60%,8.59%,2.00,179.03,1.17,1.95,5.41%,208803
19,"SYN",-4.88%,-4.20%,-30.72%,-39.94%,-35.07%,-33.85%,8.37%,6.65%,2.50,576.47,2.50,0.35,5.28%,1443920
20,"NBRV",-0.40%,-43.64%,-55.56%,-66.26%,-80.63%,-81.21%,4.40%,7.89%,2.70,368.13,2.57,2.61,5.24%,944565
21,"STCN",-15.27%,9.36%,39.19%,21.17%,-58.99%,-47.19%,12.00%,11.39%,,156.31,0.43,0.81,4.80%,67574
22,"NINE",13.52%,67.88%,118.11%,18.38%,-61.26%,-64.58%,11.35%,14.74%,3.10,284.99,1.37,2.90,4.69%,389610
23,"ETTX",16.50%,32.60%,-9.09%,-18.64%,-49.47%,-51.71%,11.98%,7.33%,1.90,758.32,0.42,2.51,4.58%,317684
24,"EGY",1.94%,-10.73%,58.00%,23.44%,-21.78%,-28.83%,4.97%,7.20%,1.00,676.23,0.66,1.65,4.43%,444510
25,"ALRN",8.15%,-2.86%,-23.31%,-15.00%,62.52%,78.01%,5.52%,5.94%,1.40,904.85,1.46,1.06,3.92%,1318596
26,"CVU",10.47%,32.40%,51.39%,7.65%,-43.70%,-43.54%,5.73%,5.65%,3.00,80.93,1.48,3.95,3.92%,119541
27,"PT",12.91%,22.21%,9.47%,-16.80%,23.81%,-42.86%,7.45%,8.06%,,236.42,1.20,1.08,3.85%,284618
28,"MMLP",-12.78%,-5.42%,22.66%,-33.76%,-62.08%,-61.04%,6.55%,7.89%,3.50,213.88,3.24,1.63,3.82%,692251
