"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"AIKI",1.58%,28.93%,16.72%,-10.65%,-40.47%,-47.17%,13.24%,11.25%,,1704.91,1.55,0.62,-10.12%,2648766
2,"AQMS",18.42%,36.36%,29.81%,31.07%,221.43%,78.74%,8.69%,11.33%,1.00,893.08,9.46,1.51,11.85%,8450912
3,"ATNF",8.43%,20.30%,-74.23%,-73.12%,-71.98%,-73.54%,15.80%,14.93%,,327.77,52.56,2.77,-2.12%,17226171
4,"CWBR",22.22%,48.08%,45.28%,-37.14%,-5.52%,-3.75%,7.73%,7.55%,2.00,486.47,2.67,1.41,-8.44%,1296841
5,"EDTK",15.89%,17.45%,11.46%,,,-26.32%,8.64%,6.96%,,61.50,2.08,3.58,2.29%,128106
6,"HGBL",51.16%,101.86%,29.48%,72.87%,269.32%,232.31%,11.45%,8.72%,1.70,171.35,5.35,3.04,-6.46%,916252
7,"IMH",-9.51%,87.76%,130.00%,39.39%,-43.79%,-47.53%,13.09%,10.94%,,149.13,1.36,2.58,-6.52%,202527
8,"LPTH",18.33%,38.87%,41.81%,24.75%,461.83%,407.59%,7.91%,8.06%,2.00,292.71,1.53,3.52,-4.35%,449094
9,"METX",0.44%,-31.21%,-74.58%,-81.35%,-77.59%,-77.90%,13.71%,10.80%,,162.22,5.90,2.00,-11.89%,956955
10,"NXTD",265.38%,249.26%,323.73%,180.40%,179.58%,216.60%,44.17%,20.63%,3.00,15576.47,6.84,1.38,-3.16%,106555102
11,"SNCA",40.75%,66.28%,61.46%,18.28%,15.16%,-3.22%,20.31%,10.42%,,1395.10,2.70,0.94,-1.37%,3762257
12,"TKAT",53.19%,103.77%,145.45%,44.48%,329.50%,332.87%,23.15%,20.08%,,397.41,2.92,2.27,5.09%,1160774
13,"ZCMD",20.29%,16.94%,19.60%,-3.44%,,-47.37%,9.43%,6.05%,,301.16,3.37,1.81,-14.01%,1015177
