"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AUPH","Aurinia Pharmaceuticals Inc.","NASD","Health Care","Biotechnology",27.7,"sml",12.410,2084313
"BYND","Beyond Meat Inc.","NASD","Consumer Staples","Food Products",46.1,"mid",139.230,2260522
"CCXI","ChemoCentryx, Inc.","NASD","Health Care","Pharmaceuticals",1.5,"sml",15.100,3867215
"CGAU","Centerra Gold Inc.","NYSE","Materials","Gold Mining",2.3,"mid",7.370,188375
"CSII","Cardiovascular Systems, Inc.","NASD","Health Care","Medical Equipment",48.4,"sml",42.740,144685
"FROG","JFrog Ltd.","NASD","Technology","Software",7.2,"mid",46.250,553077
"FULC","Fulcrum Therapeutics Inc.","NASD","Health Care","Biotechnology",27.9,"sml",9.890,50177
"JOB","GEE Group Inc.","AMEX","Consumer Discretionary","Business Training Agencies",,"",0.516,4045512
"OPT","Opthea Limited","NASD","Health Care","Biotechnology",,"",7.560,18142
"ORPH","Orphazyme A/S","NASD","","",,"",6.700,4020266
"PNTG","Pennant Group, Inc.","NASD","Health Care","Health Care Providers",19.0,"sml",40.180,71047
"WTRH","Waitr Holdings Inc.","NASD","Technology","Software",2.4,"sml",1.700,2557880
