"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"BORR","Borr Drilling Ltd.","NYSE","Energy","Oil Equipment & Services",,"",0.772,2343876
"BTBT","Bit Digital Inc.","NASD","Financial","Specialty Finance",0.2,"sml",5.450,1200057
"BTCM","BIT Mining Limited","NYSE","Consumer Discretionary","Gambling",1.5,"sml",6.300,605613
"CHEK","Check-Cap Ltd.","NASD","","",,"",1.120,2540190
"CVAC","CureVac B.V.","NASD","Health Care","Biotechnology",0.3,"lrg",58.730,558537
"CWEB","Direxion Daily CSI China Internet Index Bull 2X Shares","AMEX","","",,"",33.880,335279
"DSS","Document Security Systems Inc.","AMEX","Industrial","Business Support Services",0.0,"sml",1.580,3748310
"EDU","New Oriental Education & Technology Group Inc.","NYSE","Consumer Discretionary","Special Consumer Services",0.1,"lrg",6.250,78720842
"ENDP","Endo Pharmaceuticals Holdings, Inc.","NASD","Health Care","Pharmaceuticals",1.3,"sml",3.710,10056974
"ENLV","Enlivex Therapeutics Ltd.","NASD","Health Care","Biotechnology",8.7,"sml",7.850,96413
"GOTU","GSX Techedu Inc.","NYSE","Technology","Software",0.0,"mid",12.710,6297048
"GRNQ","Greenpro Capital Corp.","NASD","Financial","Investment Services",,"",0.999,542422
"HYMCW","Hycroft Mining Holding Corporation","NASD","","",,"",0.410,118246
"IBRX","ImmunityBio, Inc.","NASD","Health Care","Biotechnology",4.0,"mid",12.630,1164486
"IO","ION Geophysical Corp.","NYSE","Energy","Oil Equipment & Services",4.9,"sml",1.760,632502
"KRBP","Kiromic BioPharma Inc.","NASD","Health Care","Biotechnology",,"",4.300,347330
"LU","Lufax Holding Ltd.","NYSE","Financial","Consumer Finance",,"",9.000,33949804
"METX","Meten EdtechX Education Group Ltd.","NASD","Consumer Discretionary","Business Training Agencies",0.1,"sml",0.790,2738463
"NBRV","Nabriva Therapeutics AG","NASD","Health Care","Biotechnology",0.8,"sml",1.190,1543613
"NEW","Puxin Ltd.","NYSE","Communication Services","Media Agencies",0.0,"sml",1.360,1192462
"NTEC","Intec Pharma Ltd.","NASD","Health Care","Pharmaceuticals",,"",3.060,278370
"PDD","Pinduoduo Inc.","NASD","Consumer Discretionary","Broadline Retailers",0.9,"lrg",108.770,7344054
"PLX","Protalix BioTherapeutics, Inc.","AMEX","Health Care","Biotechnology",0.9,"sml",1.700,1577103
"QUMU","Qumu Corp.","NASD","Technology","Computer Hardware",0.5,"sml",2.830,526556
"RSLS","ReShape Lifesciences, Inc.","NASD","Health Care","Medical Equipment",,"",5.090,8193134
"SONN","Sonnet BioTherapeutics Holdings, Inc.","NASD","Health Care","Biotechnology",,"",1.310,1457536
"TAL","TAL Education Group","NYSE","Consumer Discretionary","Special Consumer Services",0.0,"lrg",19.510,26250869
"XPP","ProShares Ultra FTSE China 50","NYSE","","",,"",60.550,22212
"YINN","Direxion Daily FTSE China Bull 3x Shares","AMEX","","",,"",14.720,4119102
"YQ","17 Education & Technology Group Inc.","NASD","","",,"",2.820,1494286
