"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"BAOS","Baosheng Media Group Holdings Ltd.","NASD","","",,"",3.050,98428
"BIOX","Bioceres Crop Solutions Corp.","AMEX","Materials","Commodity Chemicals",,"",15.380,35359
"BSQR","BSQUARE Corp.","NASD","Technology","Software",,"",2.190,156965
"GRNQ","Greenpro Capital Corp.","NASD","Financial","Investment Services",,"",1.270,277175
"IMTE","Integrated Media Technology Limited","NASD","Technology","Computer Hardware",,"",3.640,66583
"JILL","J.Jill, Inc.","NYSE","Consumer Discretionary","Clothing & Accessories",,"",13.700,203714
"KIRK","Kirkland's, Inc.","NASD","Consumer Discretionary","Specialty Retailers",95.0,"sml",28.220,532822
"KMPH","KemPharm, Inc.","NASD","Health Care","Biotechnology",,"",9.820,443100
"MKGI","Monaker Group, Inc.","NASD","Communication Services","Media Agencies",,"",2.420,135997
"NM","Navios Maritime Holdings, Inc.","NYSE","Industrial","Marine Transportation",,"",9.070,195734
"NSPR","InspireMD, Inc.","AMEX","Health Care","Medical Supplies",,"",5.040,159508
"OCG","Oriental Culture Holding Ltd.","NASD","","",,"",4.260,192718
"RUBY","Rubius Therapeutics, Inc.","NASD","Health Care","Biotechnology",99.3,"sml",25.910,370546
"SGLB","Sigma Labs, Inc.","NASD","Industrial","Industrial Machinery",,"",3.300,87919
"SXTC","China SXT Pharmaceuticals, Inc.","NASD","Health Care","Medical Supplies",,"",1.280,121996
"TIRX","Tian Ruixiang Holdings Ltd.","NASD","Financial","Property-Casualty Insurance",,"",10.350,296511
"TKAT","Takung Art Co., Ltd.","AMEX","Communication Services","Internet",,"",19.600,520474
"YVR","Liquid Media Group Ltd.","NASD","Consumer Staples","Soft Drinks",,"",1.810,552202
"ZYNE","Zynerba Pharmaceuticals, Inc.","NASD","Health Care","Pharmaceuticals",,"",4.510,1164767
