"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AMC","AMC Entertainment Holdings Inc.","NYSE","Consumer Discretionary","Recreational Services",98.9,"sml",12.640,89010745
"BBIG","Vinco Ventures, Inc.","NASD","Consumer Discretionary","Toys",,"",2.950,13415383
"CYH","Community Health Systems","NYSE","Health Care","Health Care Providers",87.2,"sml",13.180,2080688
"DLPN","Dolphin Entertainment, Inc.","NASD","Communication Services","Internet",,"",8.370,265226
"GME","Gamestop Corp.","NYSE","Consumer Discretionary","Specialty Retailers",99.9,"sml",168.830,4825885
"HOFV","Hall of Fame Resort & Entertainment Company","NASD","Communication Services","Entertainment",,"",3.380,2397637
"ICPT","Intercept Pharmaceuticals, Inc.","NASD","Health Care","Biotechnology",0.2,"mid",16.990,577847
"KIQ","Kelso Technologies Inc.","AMEX","Industrial","Industrial Machinery",,"",0.680,2288484
"KOSS","Koss Corp.","NASD","Communication Services","Mobile Telecommunications",,"",17.210,535667
"LKCO","Luokung Technology Corp.","NASD","Technology","Software",,"",1.160,2680883
"MKGI","Monaker Group, Inc.","NASD","Communication Services","Media Agencies",,"",2.420,135997
"NM","Navios Maritime Holdings, Inc.","NYSE","Industrial","Marine Transportation",,"",9.070,195734
"NNVC","NanoViricides, Inc.","AMEX","Health Care","Pharmaceuticals",,"",3.560,36446
"OCG","Oriental Culture Holding Ltd.","NASD","","",,"",4.260,192718
"POLA","Polar Power, Inc.","NASD","Technology","Electronic Equipment",,"",9.670,122651
"PRQR","ProQR Therapeutics BV","NASD","Health Care","Biotechnology",,"",6.430,300468
"RAIL","FreightCar America Inc.","NASD","Industrial","Commercial Vehicles",98.0,"sml",5.540,2392854
"RIOT","Riot Blockchain, Inc.","NASD","Technology","Software",,"",24.140,41600071
"RUBY","Rubius Therapeutics, Inc.","NASD","Health Care","Biotechnology",99.3,"sml",25.910,370546
"SEEL","Seelos Therapeutics, Inc.","NASD","Health Care","Pharmaceuticals",,"",3.270,10125522
"SNNAQ","Sienna Biopharmaceuticals, Inc.","NASD","Health Care","Biotechnology",99.3,"sml",0.031,1513
"SPRT","Support.com, Inc.","NASD","Technology","Software",,"",2.480,1086920
"STEM","Stem, Inc.","NYSE","","",,"",18.960,1027802
"VUZI","Vuzix Corp.","NASD","Technology","Electronic Equipment",98.3,"sml",16.030,2851926
"ZOM","Zomedica Corp.","AMEX","Health Care","Pharmaceuticals",98.6,"sml",0.794,20333867
