"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ADXS","Advaxis Inc.","NASD","Health Care","Biotechnology",,"",0.548,45571411
"AMPG","AmpliTech Group, Inc.","NASD","Communication Services","Entertainment",,"",4.380,198046
"ATOS","Atossa Genetics, Inc.","NASD","Health Care","Medical Equipment",,"",3.250,6786415
"BBI","Brickell Biotech Inc","NASD","Health Care","Biotechnology",,"",0.910,701429
"CEI","Camber Energy, Inc.","AMEX","Energy","Exploration & Production",,"",0.617,1210936
"CGA","China Green Agriculture, Inc.","NYSE","Materials","Specialty Chemicals",,"",15.600,74659
"CLSD","Clearside Biomedical, Inc.","NASD","Health Care","Biotechnology",40.2,"sml",2.480,204651
"CTRM","Castor Maritime Inc.","NASD","Industrial","Marine Transportation",,"",0.427,57041479
"DWSN","Dawson Geophysical Co.","NASD","Energy","Oil Equipment & Services",33.4,"sml",2.320,14135
"EH","EHang Holdings Ltd","NASD","Industrial","Aerospace",,"",22.810,1320636
"ENSV","ENSERVCO Corp.","AMEX","Energy","Exploration & Production",,"",1.250,124660
"GBR","New Concept Energy Inc.","AMEX","Real Estate","Real Estate Development",,"",4.020,78884
"HSDT","Helius Medical Technologies, Inc.","NASD","Health Care","Biotechnology",7.0,"sml",13.610,23219
"IPA","Immunoprecise Antibodies Ltd.","NASD","","",,"",7.960,39366
"LTBR","Lightbridge Corp.","NASD","Industrial","Business Support Services",,"",5.280,29692
"MARA","Marathon Digital Holdings Inc","NASD","Industrial","Business Support Services",,"",21.890,22822759
"MXC","MEXCO Energy Corp.","AMEX","Energy","Exploration & Production",,"",7.702,856
"NCTY","The9 Ltd.","NASD","Consumer Discretionary","Toys",,"",14.260,784641
"NMTR","9 Meters Biopharma, Inc.","NASD","Health Care","Biotechnology",38.7,"sml",1.200,1558229
"ONTX","Onconova Therapeutics, Inc.","NASD","Health Care","Biotechnology",,"",0.730,90319164
"QS","QuantumScape Corporation","NYSE","Consumer Discretionary","Auto Parts",,"",27.500,9157372
"REPX","Riley Exploration Permian, Inc.","AMEX","Energy","Exploration & Production",,"",35.010,7443
"SDPI","Superior Drilling Products Inc.","AMEX","Energy","Oil Equipment & Services",,"",0.770,209813
"SXTC","China SXT Pharmaceuticals, Inc.","NASD","Health Care","Medical Supplies",,"",1.270,52785
"TLGT","Teligent, Inc.","NASD","Health Care","Pharmaceuticals",4.4,"sml",0.522,1863891
"ZKIN","ZK International Group Co., Ltd.","NASD","Materials","Steel",,"",4.290,662780
